2025-05-08 10:28:22,375 | INFO | Fetch 1M17 …
2025-05-08 11:47:36,776 | INFO | Pipeline finished – validation OK
2025-05-08 11:51:45,758 | INFO | Fetch 1M17 …
2025-05-08 11:51:45,899 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:51:45,918 | INFO | >>> PREPARE INPUTS
2025-05-08 11:51:45,919 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:51:45,919 | INFO | >>> DOCK
2025-05-08 11:51:45,919 | INFO | Docking already performed. Skipping.
2025-05-08 11:51:45,919 | INFO | >>> MERGE LOGS
2025-05-08 11:51:45,919 | INFO | Parsing 1 logs …
2025-05-08 11:51:45,925 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:51:45,925 | INFO | >>> POST‑PROCESS
2025-05-08 11:51:45,931 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:51:45,931 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:51:45,938 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 11:51:45,963 | ERROR | Failed RMSD for 1M17__AQ4__native_redock.pdbqt: Cannot set unknown attribute 'atomLabelFontSize'
2025-05-08 11:51:45,964 | INFO | Pipeline finished – validation OK
2025-05-08 11:54:02,836 | INFO | Fetch 1M17 …
2025-05-08 11:54:02,940 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:54:02,957 | INFO | >>> PREPARE INPUTS
2025-05-08 11:54:02,958 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:54:02,958 | INFO | >>> DOCK
2025-05-08 11:54:02,958 | INFO | Docking already performed. Skipping.
2025-05-08 11:54:02,958 | INFO | >>> MERGE LOGS
2025-05-08 11:54:02,958 | INFO | Parsing 1 logs …
2025-05-08 11:54:02,963 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:54:02,963 | INFO | >>> POST‑PROCESS
2025-05-08 11:54:02,967 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:54:02,967 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:54:02,974 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 11:54:03,007 | ERROR | Failed RMSD for 1M17__AQ4__native_redock.pdbqt: <bound method DrawMolecules of <rdkit.Chem.Draw.rdMolDraw2D.MolDraw2DSVG object at 0x1317756c0>> got multiple values for keyword argument 'highlightAtoms'
2025-05-08 11:54:03,007 | INFO | Pipeline finished – validation OK
2025-05-08 12:01:54,530 | INFO | Fetch 1M17 …
2025-05-08 12:01:54,670 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:01:54,689 | INFO | >>> PREPARE INPUTS
2025-05-08 12:01:54,690 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:01:54,690 | INFO | >>> DOCK
2025-05-08 12:01:54,690 | INFO | Docking already performed. Skipping.
2025-05-08 12:01:54,690 | INFO | >>> MERGE LOGS
2025-05-08 12:01:54,690 | INFO | Parsing 1 logs …
2025-05-08 12:01:54,696 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:01:54,696 | INFO | >>> POST‑PROCESS
2025-05-08 12:01:54,701 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:01:54,701 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:01:54,710 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:01:54,733 | INFO | Pipeline finished – validation OK
2025-05-08 12:03:47,836 | INFO | Fetch 1M17 …
2025-05-08 12:03:48,033 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:03:48,052 | INFO | >>> PREPARE INPUTS
2025-05-08 12:03:48,052 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:03:48,052 | INFO | >>> DOCK
2025-05-08 12:03:48,052 | INFO | Docking already performed. Skipping.
2025-05-08 12:03:48,052 | INFO | >>> MERGE LOGS
2025-05-08 12:03:48,052 | INFO | Parsing 1 logs …
2025-05-08 12:03:48,057 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:03:48,057 | INFO | >>> POST‑PROCESS
2025-05-08 12:03:48,061 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:03:48,061 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:03:48,067 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:03:48,090 | INFO | Pipeline finished – validation OK
2025-05-08 12:07:13,105 | INFO | Fetch 1M17 …
2025-05-08 12:07:13,254 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:07:13,269 | INFO | >>> PREPARE INPUTS
2025-05-08 12:07:13,270 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:07:13,270 | INFO | >>> DOCK
2025-05-08 12:07:13,270 | INFO | Docking already performed. Skipping.
2025-05-08 12:07:13,270 | INFO | >>> MERGE LOGS
2025-05-08 12:07:13,270 | INFO | Parsing 1 logs …
2025-05-08 12:07:13,275 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:07:13,275 | INFO | >>> POST‑PROCESS
2025-05-08 12:07:13,279 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:07:13,279 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:07:13,285 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:07:13,306 | INFO | Pipeline finished – validation OK
2025-05-08 12:07:55,875 | INFO | Fetch 1M17 …
2025-05-08 12:07:55,994 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:07:56,012 | INFO | >>> PREPARE INPUTS
2025-05-08 12:07:56,012 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:07:56,012 | INFO | >>> DOCK
2025-05-08 12:07:56,012 | INFO | Docking already performed. Skipping.
2025-05-08 12:07:56,012 | INFO | >>> MERGE LOGS
2025-05-08 12:07:56,013 | INFO | Parsing 1 logs …
2025-05-08 12:07:56,019 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:07:56,019 | INFO | >>> POST‑PROCESS
2025-05-08 12:07:56,024 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:07:56,024 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:07:56,030 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:07:56,051 | INFO | Pipeline finished – validation OK
2025-05-08 12:08:10,947 | INFO | Fetch 1M17 …
2025-05-08 12:08:11,119 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:08:11,142 | INFO | >>> PREPARE INPUTS
2025-05-08 12:08:11,143 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:08:11,143 | INFO | >>> DOCK
2025-05-08 12:08:11,143 | INFO | Docking already performed. Skipping.
2025-05-08 12:08:11,143 | INFO | >>> MERGE LOGS
2025-05-08 12:08:11,143 | INFO | Parsing 1 logs …
2025-05-08 12:08:11,146 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:08:11,146 | INFO | >>> POST‑PROCESS
2025-05-08 12:08:11,148 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:08:11,148 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:08:11,153 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:08:11,177 | INFO | Pipeline finished – validation OK
2025-05-08 12:08:24,924 | INFO | Fetch 1M17 …
2025-05-08 12:08:25,022 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:08:25,037 | INFO | >>> PREPARE INPUTS
2025-05-08 12:08:25,037 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:08:25,037 | INFO | >>> DOCK
2025-05-08 12:08:25,038 | INFO | Docking already performed. Skipping.
2025-05-08 12:08:25,038 | INFO | >>> MERGE LOGS
2025-05-08 12:08:25,038 | INFO | Parsing 1 logs …
2025-05-08 12:08:25,040 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:08:25,040 | INFO | >>> POST‑PROCESS
2025-05-08 12:08:25,042 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:08:25,042 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:08:25,046 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:08:25,063 | INFO | Pipeline finished – validation OK
2025-05-08 12:09:14,849 | INFO | Fetch 1M17 …
2025-05-08 12:09:15,199 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:09:15,220 | INFO | >>> PREPARE INPUTS
2025-05-08 12:09:15,220 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:09:15,220 | INFO | >>> DOCK
2025-05-08 12:09:15,220 | INFO | Docking already performed. Skipping.
2025-05-08 12:09:15,220 | INFO | >>> MERGE LOGS
2025-05-08 12:09:15,220 | INFO | Parsing 1 logs …
2025-05-08 12:09:15,226 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:09:15,226 | INFO | >>> POST‑PROCESS
2025-05-08 12:09:15,230 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:09:15,230 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:09:15,239 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:09:15,264 | INFO | Pipeline finished – validation OK
2025-05-08 12:10:25,433 | INFO | Fetch 1M17 …
2025-05-08 12:10:25,585 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:10:25,605 | INFO | >>> PREPARE INPUTS
2025-05-08 12:10:25,606 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:10:25,606 | INFO | >>> DOCK
2025-05-08 12:10:25,606 | INFO | Docking already performed. Skipping.
2025-05-08 12:10:25,606 | INFO | >>> MERGE LOGS
2025-05-08 12:10:25,606 | INFO | Parsing 1 logs …
2025-05-08 12:10:25,613 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:10:25,614 | INFO | >>> POST‑PROCESS
2025-05-08 12:10:25,619 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:10:25,619 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:10:25,625 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:10:25,651 | INFO | Pipeline finished – validation OK
2025-05-08 12:11:24,551 | INFO | Fetch 1M17 …
2025-05-08 12:11:24,781 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 12:11:24,804 | INFO | >>> PREPARE INPUTS
2025-05-08 12:11:24,805 | INFO | PDB → PDBQT conversion finished
2025-05-08 12:11:24,805 | INFO | >>> DOCK
2025-05-08 12:11:24,805 | INFO | Docking already performed. Skipping.
2025-05-08 12:11:24,805 | INFO | >>> MERGE LOGS
2025-05-08 12:11:24,805 | INFO | Parsing 1 logs …
2025-05-08 12:11:24,810 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 12:11:24,810 | INFO | >>> POST‑PROCESS
2025-05-08 12:11:24,814 | INFO | Found 0 hits better than native ligands.
2025-05-08 12:11:24,814 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 12:11:24,823 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 12:11:24,849 | INFO | Pipeline finished – validation OK
2025-05-08 13:28:13,531 | INFO | Fetch 1M17 …
2025-05-08 13:28:13,596 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 13:28:13,610 | INFO | >>> PREPARE INPUTS
2025-05-08 13:28:13,610 | INFO | PDB → PDBQT conversion finished
2025-05-08 13:28:13,610 | INFO | >>> DOCK
2025-05-08 13:28:13,611 | INFO | Dokowanie 1 kompleksów…
2025-05-08 13:28:56,161 | INFO | >>> MERGE LOGS
2025-05-08 13:28:56,161 | INFO | Parsing 1 logs …
2025-05-08 13:28:56,166 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 13:28:56,166 | INFO | >>> POST‑PROCESS
2025-05-08 13:28:56,169 | INFO | Found 0 hits better than native ligands.
2025-05-08 13:28:56,169 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 13:28:56,174 | INFO | RMSD for 1M17_AQ4: 2.48 Å
2025-05-08 13:28:56,193 | INFO | Pipeline finished – validation OK
